TOURN,SURFACE,TOWN,COUNTRY,CONTINENT,TYPE
ATP World Tour Finals, Hard,London,United Kingdom,Europe,ATP
Indian Wells Masters, Hard, Indian Wells, United States, North America,ATP
Miami Open, Hard, Key Biscayne, United States, North America,ATP
Monte-Carlo Masters, Clay, Monte Carlo,Monaco,Europe,ATP
Madrid Open, Clay, Madrid, Spain, Europe,ATP
Italian Open, Clay,Rome,Italy,Europe,ATP
Canadian Open, Hard, Toronto,Canada, North America,ATP
Cincinnati Masters, Hard, Cincinnati, United States, North America,ATP
Shanghai Masters, Hard, Shanghai, China, Asia,ATP
Paris Masters, Hard,Paris,France,Europe,ATP
Rotterdam Open, Hard, Rotterdam,Netherlands,Europe,ATP
Rio Open, Clay, Rio de Janeiro,Brazil,South America,ATP
Mexican Open, Clay, Acapulco,Mexico,North America,ATP
Dubai Tennis Championships, Hard, Dubai,United Arab Emirates,Asia,ATP
Barcelona Open, Clay, Barcelona, Spain, Europe,ATP
Halle Open, Grass, Halle, Germany, Europe,ATP
Queen's Club Championships, Grass,London,United Kingdom,Europe,ATP
German Open, Clay, Hamburg, Germany, Europe,ATP
Washington Open,Hard, Hard, United States,North America,ATP
Japan Open, Hard,Tokyo,Japan,Asia,ATP
China Open, Hard, Beijing, China, Asia,ATP
Swiss Indoors, Hard, Basel,Switzerland,Europe,ATP
Valencia Open, Hard, Valencia, Spain, Europe,ATP
Brisbane International, Hard, Brisbane, Australia, Oceania,ATP
Aircel Chennai Open, Hard, Chennai, India, Asia,ATP
Qatar ExxonMobil Open, Hard, Doha,Qatar, Asia,ATP
Heineken Open, Hard, Auckland,New Zealand,Oceania,ATP
Apia International Sydney, Hard, Sydney, Australia, Oceania,ATP
Open Sud de France, Hard, Montpellier,France,Europe,ATP
Chile Open, Clay, Vina del Mar,Chile,South America,ATP
PBZ Zagreb Indoors, Hard, Zagreb,Croatia,Europe,ATP
Brasil Open, Clay, Sao Paulo,Brazil,South America,ATP
Delray Beach International Tennis Championships, Hard, Delray Beach, United States, North America,ATP
Open 13, Hard, Marseille, France, Europe,ATP
Copa Claro, Clay, Buenos Aires,Argentina,South America,ATP
Grand Prix Hassan II, Clay, Casablanca,Morocco,Africa,ATP
US Men's Clay Court Championship, Clay, Houston, United States, North America,ATP
BRD Nastase Tiriac Trophy, Clay, Bucharest,Romania,Europe,ATP
Istanbul Open, Clay, Istanbul,Turkey,Asia,ATP
Bavaria Open, Clay, Munich, Germany, Europe,ATP
Estoril Open, Clay, Estoril,Portugal,Europe,ATP
DÕ_sseldorf Open, Clay, DÕ_sseldorf,Germany,Europe,ATP
Open de Nice CÕâte d'Azur, Clay, Nice, France, Europe,ATP
Topshelf Open, Grass, 's-Hertogenbosch,Netherlands,Europe,ATP
Stuttgart Open, Grass, Stuttgart, Germany, Europe,ATP
Nottingham Open, Grass, Nottingham, United Kingdom, Europe,ATP
Campbell's Hall of Fame Tennis Championships, Grass, Newport, United States, North America,ATP
SkiStar Swedish Open, Clay, BÕ‚stad,Sweden,Europe,ATP
Claro Open Colombia, Hard, Bogota,Colombia,South America,ATP
Studena Croatia Open Umag, Clay, Umag,Croatia, Europe,ATP
Atlanta Tennis Championships, Hard, Atlanta, United States, North America,ATP
Allianz Suisse Open Gstaad, Clay, Gstaad,Switzerland,Europe,ATP
Bet-at-home Cup KitzbÕ_hel, Clay, KitzbÕ_hel,Austria, Europe,ATP
Winston-Salem Open, Hard, Winston-Salem,United states, North America,ATP
Open de Moselle, Hard, Metz, France, Europe,ATP
Tel Aviv Open, Hard, Tel Aviv,Isreal,Asia,ATP
Malaysian Open, Hard, Kuala Lumpur,Malaysia,Asia,ATP
Shenzhen Open, Hard, Shenzhen,China,Asia,ATP
If Stockholm Open, Hard, Stockholm,Sweden,Europe,ATP
Kremlin Cup, Hard,Moscow,Russia,Europe,ATP
Bank Austria TennisTrophy, Hard, Vienna,Austria,Europe,ATP
Australian Open,Hard,Melbourne,Australia,Austraia,ATP
French Open,Clay,Paris,France,Europe,ATP
Wimbledon,Grass,London,United Kingdom,Europe,ATP
US Open,Hard,New york,United States,North America,ATP
Sony Ericsson Championships - Istanbul 2011,Hard,Istanbul,Turkey,Europe,WTA
BNP Paribas Open, Hard, Indian Wells, United States, North America,WTA
Sony Ericsson Open, Hard, Key Biscayne, United States, North America,WTA
Mutua Madrileí±a Madrid Open, Clay, Madrid, Spain, Europe,WTA
China Open, Hard, Beijing, China, Asia,WTA
Dubai Duty Free Tennis Championships, Hard, Dubai,United Arab Emirates,Asia,WTA
Qatar Ladies Open, Hard, Doha,Qatar,Asia,WTA
Internazionali BNL d'Italia, Clay,Rome,Italy,Europe,WTA
Rogers Cup presented by National Bank, Hard, Montreal, Canada, North America,WTA
Western & Southern Financial Group Women's Open, Hard, Cincinnati, United States, North America,WTA
Toray Pan Pacific Open, Hard,Tokyo,Japan,Asia,WTA
OPEN GDF Suez,Hard,Paris,France,Europe,WTA
Family Circle Cup, Clay, Charleston, United States, North America,WTA
Porsche Tennis Grand Prix, Clay, Stuttgart, Germany, Europe,WTA
Bank of the West Classic, Hard, Stanford, United States, North America,WTA
Mercury Insurance Open, Hard, San Diego, United States, North America,WTA
Medibank International Sydney, Hard, Sydney, Australia, Oceania,WTA
Brussels Open, Clay, Brussels,Belgium,Europe,WTA
Aegon International, Grass, Eastbourne, United Kingdom, Europe,WTA
New Haven Open at Yale, Hard, New Haven, United States, North America,WTA
Kremlin Cup,Hard,Moscow,Russia,Europe,WTA
Commonwealth Bank Tournament of Champions,Hard,Sofia,Bulgaria,Europe,WTA
Shenzhen Open, Hard, Shenzhen, China, Asia,WTA
Brisbane International, Hard, Brisbane, Australia, Oceania,WTA
ASB Classic, Hard, Auckland,New Zealand,Oceania,WTA
Moorilla Hobart International, Hard, Hobart, Australia, Oceania,WTA
PTT Pattaya Open, Hard, Pattaya City,Thailand,Asia,WTA
Memphis International,Hard, Memphis, United States, North America,WTA
XIX COPA BBVA COLSANITAS, Clay, Bogotíç,Colombia,South America,WTA
Abierto Mexicano TELCEL presentado por HSBC, Clay, Acapulco,Mexico,North America,WTA
Malaysian Open 2011, Hard, Kuala Lumpur,Malaysia,Asia,WTA
Monterrey Open, Hard, Monterrey,Mexico,North America,WTA
Andalucia Tennis Experience, Clay, Marbella, Spain, Europe,WTA
Grand Prix De SAR La Princesse Lalla Meryem, Clay, Fes,Morocco,Africa,WTA
Barcelona Ladies Open, Clay, Barcelona, Spain, Europe,WTA
Estoril Open, Clay, Estoril,Portugal,Europe,WTA
Internationaux de Strasbourg, Clay, Strasbourg, France, Europe,WTA
e-Boks Sony Ericsson Open, Hard, Copenhagen,Denmark,Europe,WTA
Aegon Classic, Grass, Birmingham, United Kingdom, Europe,WTA
UNICEF Open, Grass, 's-Hertogenbosch,Netherlands,Europe,WTA
Collector Swedish Open Women, Clay, Bí«stad,Sweden,Europe,WTA
Bucharest Open, Clay, Bucharest,Romania,Europe,WTA
Internazionali Femminili di Palermo, Clay, Palermo, Italy, Europe,WTA
NURNBERGER Gastien Ladies, Clay, Bad Gastein,Austria,Europe,WTA
Banka Koper Slovenia Open, Hard, PortoroÅ_,Slovenia,Europe,WTA
Mid-Atlantic Women's Tennis Championships, Hard, Washington D.C., United States, United States,WTA
Bell Challenge,Hard, Quebec City, Canada, North America,WTA
