name,Tournament,Surface,Aces,Serve,Net Approaches,Net Points
Roger Federer v Andy Murray,Wimbledon,Grass,28,182,64,50
Andy Murray v Jo-Wilfried Tsonga,Wimbledon,Grass,20,158,61,34
Novak Djokovic v Roger Federer,Wimbledon,Grass,21,151,30,19
Jo-Wilfried Tsonga v Philipp Kohlschreiber,Wimbledon,Grass,27,180,59,44
David Ferrer v Andy Murray,Wimbledon,Grass,24,215,54,46
Roger Federer v Mikhail Youzhny,Wimbledon,Grass,5,91,32,20
Novak Djokovic v Florian Mayer,Wimbledon,Grass,9,101,26,21
Andy Murray v Novak Djokovic,US Open,Hard,12,177,45,31
David Ferrer v Novak Djokovic,US Open,Hard,8,119,25,15
Tomas Berdych v Andy Murray,US Open,Hard,13,167,52,28
Juan Martin Del Potro v Novak Djokovic,US Open,Hard,15,132,33,24
Janko Tipsarevic v David Ferrer,US Open,Hard,25,221,53,42
Andy Murray v Marin Cilic,US Open,Hard,13,129,27,20
Roger Federer v Tomas Berdych,US Open,Hard,21,146,30,23
Novak Djokovic v Rafael Nadal,Aus Open,Hard,19,230,34,28
Roger Federer v Rafael Nadal,Aus Open,Hard,15,179,49,30
Novak Djokovic v Andy Murray,Aus Open,Hard,20,188,28,17
Tomas Berdych v Rafael Nadal,Aus Open,Hard,23,199,47,30
Juan Martin Del Potro v Roger Federer,Aus Open,Hard,10,107,21,18
Andy Murray v Kei Nishikori,Aus Open,Hard,5,98,32,24
Novak Djokovic v David Ferrer,Aus Open,Hard,5,119,22,16
Novak Djokovic v Rafael Nadal,French Open,Clay,7,136,29,20
David Ferrer v Rafael Nadal,French Open,Clay,3,79,15,12
Novak Djokovic v Roger Federer,French Open,Clay,15,103,18,13
Nicolas Almagro v Rafael Nadal,French Open,Clay,14,136,18,13
David Ferrer v Andy Murray,French Open,Clay,6,160,31,16
Roger Federer v Juan Martin Del Potro,French Open,Clay,17,166,36,26
Novak Djokovic v Jo-Wilfried Tsonga,French Open,Clay,13,200,52,30
